ID,Class,category,x1,x2
PTC3143,12,Polyureas,1.5671462,14.80848
PTC0049,10,Polyamides,-3.2108622,17.31829
PTC2973,10,Polyamides,18.025654,4.0261526
PTC1388,11,Polyurethanes,14.636955,16.356989
PTC3760,19,Polyphenylenes,7.612831,5.9435844
PTC4460,13,Polyimides,4.2477765,8.433122
PTC2621,9,Polyesters,12.741032,3.545154
PTC0765,8,Polysulfides,8.955451,13.983353
PTC1950,6,Polydienes,6.2329493,9.794934
PTC0199,1,Polyolefins,5.8009124,8.905738
PTC1299,10,Polyamides,6.3026357,13.367663
PTC0560,7,Polyethers,7.035408,9.598775
PTC0580,7,Polyethers,13.848231,0.88608825
PTC0930,9,Polyesters,-4.239624,3.61171
PTC0909,9,Polyesters,13.120015,22.637297
PTC1019,9,Polyesters,12.532146,10.331196
PTC1157,10,Polyamides,-5.852518,-4.2744036
PTC1288,10,Polyamides,17.130526,4.9486747
PTC0623,9,Polyesters,11.386209,11.967244
PTC2902,10,Polyamides,-1.0464106,16.379028
PTC0703,8,Polysulfides,6.205423,9.3438635
PTC4484,6,Polydienes,6.6987286,9.203389
PTC4308,17,Polyketones,7.6092887,2.3285937
PTC0013,4,Polyacrylics,2.4905672,12.312199
PTC1927,5,Polyhalo-olefins,4.60306,9.894893
PTC2311,7,Polyethers,6.9902587,9.558751
PTC1426,11,Polyurethanes,13.8221445,16.149733
PTC0409,7,Polyethers,5.6485767,11.491068
PTC3116,11,Polyurethanes,14.118204,16.46867
PTC0085,5,Polyhalo-olefins,7.028495,9.546633
PTC1935,5,Polyhalo-olefins,4.240027,11.077839
PTC0399,6,Polydienes,5.532425,8.590226
PTC1131,10,Polyamides,4.3357625,18.20306
PTC2825,9,Polyesters,-4.677699,-0.73637533
PTC2986,10,Polyamides,23.026037,0.9283411
PTC0824,9,Polyesters,-6.7460318,10.773068
PTC4079,12,Polyureas,-2.2959654,7.942934
PTC0554,18,Polysulfones,8.878169,2.119665
PTC3206,13,Polyimides,-0.9719686,5.342458
PTC2272,7,Polyethers,8.475189,5.965912
PTC0106,9,Polyesters,11.453538,11.868392
PTC1792,4,Polyacrylics,2.800541,12.801207
PTC2284,7,Polyethers,6.398054,6.1691403
PTC3052,15,Polycarbonates,-4.7376823,14.747154
PTC1832,3,Polyvinyls,5.9239016,9.7664
PTC0975,9,Polyesters,7.899867,10.993157
PTC2233,7,Polyethers,5.7550354,11.63685
PTC1440,11,Polyurethanes,8.889442,11.35037
PTC2223,17,Polyketones,7.682306,6.5936794
PTC4428,9,Polyesters,5.681713,-6.5187235
PTC4433,9,Polyesters,18.276484,5.576363
PTC0978,9,Polyesters,13.106907,22.625767
PTC1250,10,Polyamides,6.129149,13.480518
PTC0322,4,Polyacrylics,14.932289,11.809134
PTC0937,9,Polyesters,2.462573,-9.991407
PTC0025,4,Polyacrylics,2.3635147,13.144437
PTC1061,9,Polyesters,-6.742058,10.764532
PTC2423,8,Polysulfides,6.5084734,9.953755
PTC0775,8,Polysulfides,17.898403,12.380369
PTC0086,5,Polyhalo-olefins,4.7453475,10.50886
PTC4141,6,Polydienes,5.10166,9.908666
PTC0581,7,Polyethers,10.5720825,14.963426
PTC1448,11,Polyurethanes,7.2019963,15.4358835
PTC0866,9,Polyesters,11.323991,12.083163
PTC1352,10,Polyamides,-4.9847097,-0.088577926
